symbol,date,analystRatingsbuy,analystRatingsHold,analystRatingsSell,analystRatingsStrongSell,analystRatingsStrongBuy
FDS,2026-01-01,3,10,3,1,1
FDS,2025-12-01,3,10,5,1,1
FDS,2025-11-01,3,11,5,1,1
FDS,2025-10-01,2,11,5,1,1
FDS,2025-09-01,2,13,5,1,1
FDS,2025-08-01,2,12,5,1,0
FDS,2025-07-01,2,13,5,1,0
FDS,2025-06-01,2,13,5,4,0
FDS,2025-05-01,2,12,4,4,0
FDS,2025-04-01,2,12,4,3,0
FDS,2025-03-01,2,13,4,4,0
FDS,2025-02-01,2,12,3,4,0
FDS,2025-01-01,2,12,3,4,0
FDS,2024-12-01,2,12,3,4,0
FDS,2024-11-01,2,12,3,4,1
FDS,2024-10-01,3,12,4,4,1
FDS,2024-09-01,3,12,5,4,1
FDS,2024-08-01,3,13,6,4,1
FDS,2024-07-01,3,12,6,1,0
FDS,2024-06-01,3,12,6,1,0
FDS,2024-05-01,1,8,6,1,0
FDS,2024-04-01,1,8,6,1,0
FDS,2024-03-01,1,8,6,1,0
FDS,2024-02-01,1,8,6,1,0
FDS,2024-01-01,1,8,6,1,0
FDS,2023-12-01,1,8,6,1,0
FDS,2023-11-01,1,8,6,1,0
FDS,2023-10-01,1,8,6,1,0
FDS,2023-09-01,1,8,6,1,0
FDS,2023-08-01,1,8,6,1,0
FDS,2023-07-01,1,8,6,1,0
FDS,2023-06-01,1,8,6,1,0
FDS,2023-05-01,1,8,6,1,0
FDS,2023-04-01,1,8,6,1,0
FDS,2023-03-01,1,8,6,1,0
FDS,2023-02-01,1,8,6,1,0
FDS,2023-01-01,1,11,3,0,1
FDS,2022-12-01,1,11,3,0,1
FDS,2022-11-01,1,11,3,0,1
FDS,2022-10-01,1,11,3,0,1
FDS,2022-09-01,4,9,4,0,0
FDS,2022-08-01,1,11,3,0,1
FDS,2022-07-01,3,10,4,0,0
FDS,2022-06-01,1,11,3,0,1
FDS,2022-05-01,2,10,5,0,0
FDS,2022-04-01,1,11,3,0,1
FDS,2022-03-01,1,11,3,0,1
FDS,2022-02-01,1,11,3,0,1
FDS,2022-01-01,1,11,3,0,1
FDS,2021-12-01,1,11,3,0,1
FDS,2021-11-01,1,11,3,0,1
FDS,2021-10-01,1,11,3,0,1
FDS,2021-09-01,1,11,3,0,1
FDS,2021-08-01,1,11,3,0,1
FDS,2021-07-01,1,11,3,0,1
FDS,2021-06-01,1,11,3,0,1
FDS,2021-05-01,1,11,3,0,1
FDS,2021-04-01,1,11,3,0,1
FDS,2021-03-01,1,11,3,0,1
FDS,2021-02-01,0,9,6,1,0
FDS,2021-01-01,0,9,6,1,0
FDS,2020-12-01,1,11,3,0,0
FDS,2020-09-01,1,13,7,1,1
FDS,2020-08-01,0,11,10,2,0
FDS,2020-07-01,0,11,10,2,0
FDS,2020-06-01,1,13,7,1,0
FDS,2020-05-01,0,12,10,1,0
FDS,2020-04-01,1,13,7,1,0
FDS,2020-03-01,1,13,7,1,0
FDS,2020-02-01,1,13,7,1,0
FDS,2020-01-01,1,13,7,1,0
FDS,2019-12-01,1,13,7,1,0
FDS,2019-11-01,1,13,7,1,0
FDS,2019-10-01,1,13,7,1,0
FDS,2019-09-01,1,13,7,1,0
FDS,2019-08-01,1,13,7,1,0
FDS,2019-07-01,1,13,7,1,0
FDS,2019-06-01,1,13,7,1,0
FDS,2019-05-01,1,13,7,1,0
FDS,2019-04-01,1,13,7,1,0
FDS,2019-03-01,1,13,7,1,0
FDS,2019-02-01,1,13,7,1,0
FDS,2019-01-01,1,13,7,1,0
