date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-02-11,345.8,349.37,325.1,328.5,328.5,118543400,118543400,-17.3,-5,337.1925,"February 11, 25",-0.05
2025-02-10,356.21,362.7,350.51,350.73,350.73,77514903,77514903,-5.48,-1.54,355.0375,"February 10, 25",-0.0154
2025-02-07,370.19,380.55,360.34,361.62,361.62,70298300,70298300,-8.57,-2.32,368.175,"February 07, 25",-0.0232
2025-02-06,373.03,375.4,363.18,374.32,374.32,77918230,77918230,1.29,0.34582,371.4825,"February 06, 25",0.0034582
2025-02-05,387.51,388.39,375.53,378.17,378.17,57614721,57614721,-9.34,-2.41,382.4,"February 05, 25",-0.0241
2025-02-04,382.63,394,381.4,392.21,392.21,57072235,57072235,9.58,2.5,387.56,"February 04, 25",0.025
2025-02-03,386.68,389.17,374.36,383.68,383.68,93732122,93732122,-3,-0.77584,383.4725,"February 03, 25",-0.0077584
2025-01-31,401.53,419.99,401.34,404.6,404.6,83568219,83568219,3.07,0.76458,406.865,"January 31, 25",0.0076458
2025-01-30,410.78,412.5,384.41,400.28,400.28,98092900,98092900,-10.5,-2.56,401.9925,"January 30, 25",-0.0256
2025-01-29,395.21,398.59,384.48,389.1,389.1,68033648,68033648,-6.11,-1.55,391.845,"January 29, 25",-0.0155
2025-01-28,396.91,400.59,386.5,398.09,398.09,48910700,48910700,1.18,0.2973,395.5225,"January 28, 25",0.002973
2025-01-27,394.8,406.69,389,397.15,397.15,58125510,58125510,2.35,0.59524,396.91,"January 27, 25",0.0059524
2025-01-24,414.45,418.88,405.78,406.58,406.58,56427149,56427149,-7.87,-1.9,411.4225,"January 24, 25",-0.019
2025-01-23,416.06,420.73,408.95,412.38,412.38,50690600,50690600,-3.68,-0.88449,414.53,"January 23, 25",-0.0088449
2025-01-22,416.81,428,414.59,415.11,415.11,60963342,60963342,-1.7,-0.40786,418.6275,"January 22, 25",-0.0040786
2025-01-21,432.64,433.2,406.31,424.07,424.07,87320900,87320900,-8.57,-1.98,424.055,"January 21, 25",-0.0198
2025-01-17,421.5,439.74,419.75,426.5,426.5,94991429,94991429,5,1.19,426.8725,"January 17, 25",0.0119
2025-01-16,423.49,424,409.13,413.82,413.82,68335200,68335200,-9.67,-2.28,417.61,"January 16, 25",-0.0228
2025-01-15,409.9,429.8,405.66,428.22,428.22,81375500,81375500,18.32,4.47,418.395,"January 15, 25",0.0447
2025-01-14,414.34,422.64,394.54,396.36,396.36,84565022,84565022,-17.98,-4.34,406.97,"January 14, 25",-0.0434
2025-01-13,383.21,403.79,380.07,403.31,403.31,67580500,67580500,20.1,5.25,392.595,"January 13, 25",0.0525
2025-01-10,391.4,399.28,377.29,394.74,394.74,62287333,62287333,3.34,0.85335,390.6775,"January 10, 25",0.0085335
2025-01-08,392.95,402.5,387.4,394.94,394.94,73038805,73038805,1.99,0.50643,394.4475,"January 08, 25",0.0050643
2025-01-07,405.83,414.33,390,394.36,394.36,75699525,75699525,-11.47,-2.83,401.13,"January 07, 25",-0.0283
2025-01-06,423.2,426.43,401.7,411.05,411.05,85516534,85516534,-12.15,-2.87,415.595,"January 06, 25",-0.0287
2025-01-03,381.48,411.88,379.45,410.44,410.44,95423329,95423329,28.96,7.59,395.8125,"January 03, 25",0.0759
2025-01-02,390.1,392.73,373.04,379.28,379.28,109710749,109710749,-10.82,-2.77,383.7875,"January 02, 25",-0.0277
2024-12-31,423.79,427.93,402.54,403.84,403.84,76825121,76825121,-19.95,-4.71,414.525,"December 31, 24",-0.0471
2024-12-30,419.4,427,415.75,417.41,417.41,64941012,64941012,-1.99,-0.47449,419.89,"December 30, 24",-0.0047449
2024-12-27,449.52,450,426.5,431.66,431.66,82666821,82666821,-17.86,-3.97,439.42,"December 27, 24",-0.0397
2024-12-26,465.16,465.33,451.02,454.13,454.13,76651210,76651210,-11.03,-2.37,458.91,"December 26, 24",-0.0237
2024-12-24,435.9,462.78,435.14,462.28,462.28,59551800,59551800,26.38,6.05,449.025,"December 24, 24",0.0605
2024-12-23,431,434.51,415.41,430.6,430.6,72698100,72698100,-0.4,-0.09280742,427.88,"December 23, 24",-0.0009280742
2024-12-20,425.51,447.08,417.64,421.06,421.06,132216200,132216200,-4.44,-1.05,427.8225,"December 20, 24",-0.0105
2024-12-19,451.88,456.36,420.02,436.17,436.17,118566146,118566146,-15.71,-3.48,441.1075,"December 19, 24",-0.0348
2024-12-18,466.5,488.54,427.01,440.13,440.13,149340800,149340800,-26.37,-5.65,455.545,"December 18, 24",-0.0565
2024-12-17,475.9,483.99,457.51,479.86,479.86,131223000,131223000,3.96,0.83211,474.315,"December 17, 24",0.0083211
2024-12-16,441.09,463.19,436.15,463.02,463.02,114083811,114083811,21.93,4.97,450.8625,"December 16, 24",0.0497
2024-12-13,420,436.3,415.71,436.23,436.23,89000200,89000200,16.23,3.86,427.06,"December 13, 24",0.0386
2024-12-12,424.84,429.3,415,418.1,418.1,87752225,87752225,-6.74,-1.59,421.81,"December 12, 24",-0.0159
2024-12-11,409.7,424.88,402.38,424.77,424.77,104287600,104287600,15.07,3.68,415.4325,"December 11, 24",0.0368
2024-12-10,392.68,409.73,390.85,400.99,400.99,97563600,97563600,8.31,2.12,398.5625,"December 10, 24",0.0212
2024-12-09,397.61,404.8,378.01,389.79,389.79,96359200,96359200,-7.82,-1.97,392.5525,"December 09, 24",-0.0197
2024-12-06,377.42,389.49,370.8,389.22,389.22,81455834,81455834,11.8,3.13,381.7325,"December 06, 24",0.0313
2024-12-05,359.87,375.43,359.5,369.49,369.49,81403600,81403600,9.62,2.67,366.0725,"December 05, 24",0.0267
2024-12-04,353,358.1,348.6,357.93,357.93,50810900,50810900,4.93,1.4,354.4075,"December 04, 24",0.014
2024-12-03,351.8,355.69,348.2,351.42,351.42,58267200,58267200,-0.38,-0.10802,351.7775,"December 03, 24",-0.0010802
2024-12-02,352.38,360,351.15,357.09,357.09,77986500,77986500,4.71,1.34,355.155,"December 02, 24",0.0134
2024-11-29,336.08,345.45,334.65,345.16,345.16,37167621,37167621,9.08,2.7,340.335,"November 29, 24",0.027
2024-11-27,341.8,342.55,326.59,332.89,332.89,57896439,57896439,-8.91,-2.61,335.9575,"November 27, 24",-0.0261
2024-11-26,341,346.96,335.66,338.23,338.23,62295900,62295900,-2.77,-0.81232,340.4625,"November 26, 24",-0.0081232
2024-11-25,360.14,361.93,338.2,338.59,338.59,95890900,95890900,-21.55,-5.98,349.715,"November 25, 24",-0.0598
2024-11-22,341.09,361.53,337.7,352.56,352.56,89140722,89140722,11.48,3.36,348.22,"November 22, 24",0.0336
2024-11-21,343.81,347.99,335.28,339.64,339.64,58011719,58011719,-4.17,-1.21,341.68,"November 21, 24",-0.0121
2024-11-20,345,346.6,334.3,342.03,342.03,66340700,66340700,-2.97,-0.86087,341.9825,"November 20, 24",-0.0086087
2024-11-19,335.76,347.38,332.75,346,346,88852500,88852500,10.24,3.05,340.4725,"November 19, 24",0.0305
2024-11-18,340.73,348.55,330.01,338.74,338.74,126547500,126547500,-1.99,-0.58404,339.5075,"November 18, 24",-0.0058404
2024-11-15,310.57,324.68,309.22,320.72,320.72,114440300,114440300,10.15,3.27,316.2975,"November 15, 24",0.0327
2024-11-14,327.69,329.98,310.37,311.18,311.18,120726109,120726109,-16.51,-5.04,319.805,"November 14, 24",-0.0504
2024-11-13,335.85,344.6,322.5,330.24,330.24,125405600,125405600,-5.61,-1.67,333.2975,"November 13, 24",-0.0167
2024-11-12,342.74,345.84,323.31,328.49,328.49,155726016,155726016,-14.25,-4.16,335.095,"November 12, 24",-0.0416
2024-11-11,346.3,358.64,336,350,350,210521625,210521625,3.7,1.07,347.735,"November 11, 24",0.0107
2024-11-08,299.14,328.71,297.66,321.22,321.22,204782800,204782800,22.08,7.38,311.6825,"November 08, 24",0.0738
2024-11-07,288.89,299.75,285.52,296.91,296.91,117309232,117309232,8.02,2.78,292.7675,"November 07, 24",0.0278
2024-11-06,284.67,289.59,275.62,288.53,288.53,165228710,165228710,3.86,1.36,284.6025,"November 06, 24",0.0136
2024-11-05,247.34,255.28,246.21,251.44,251.44,69282505,69282505,4.1,1.66,250.0675,"November 05, 24",0.0166
2024-11-04,244.56,248.9,238.88,242.84,242.84,68802400,68802400,-1.72,-0.7033,243.795,"November 04, 24",-0.007033
2024-11-01,252.04,254,246.63,248.98,248.98,57544800,57544800,-3.06,-1.21,250.4125,"November 01, 24",-0.0121
2024-10-31,257.99,259.75,249.25,249.85,249.85,66575300,66575300,-8.14,-3.16,254.21,"October 31, 24",-0.0316
2024-10-30,258.04,263.35,255.82,257.55,257.55,53993600,53993600,-0.485,-0.18989,258.69,"October 30, 24",-0.0018989
2024-10-29,264.51,264.98,255.51,259.52,259.52,80521800,80521800,-4.99,-1.89,261.13,"October 29, 24",-0.0189
2024-10-28,270,273.54,262.24,262.51,262.51,107653603,107653603,-7.49,-2.77,267.0725,"October 28, 24",-0.0277
2024-10-25,256.01,269.49,255.32,269.19,269.19,161611931,161611931,13.18,5.15,262.5025,"October 25, 24",0.0515
2024-10-24,244.68,262.12,242.65,260.48,260.48,204491903,204491903,15.8,6.46,252.4825,"October 24, 24",0.0646
2024-10-23,217.13,218.72,212.11,213.65,213.65,80938900,80938900,-3.47,-1.6,215.4025,"October 23, 24",-0.016
2024-10-22,217.31,218.22,215.26,217.97,217.97,43268741,43268741,0.66,0.30371,217.19,"October 22, 24",0.0030371
2024-10-21,218.9,220.48,215.73,218.85,218.85,47329000,47329000,-0.05,-0.02284148,218.49,"October 21, 24",-0.0002284148
2024-10-18,220.71,222.28,219.23,220.7,220.7,49611900,49611900,-0.01,-0.00453083,220.73,"October 18, 24",-4.53083e-05
2024-10-17,221.59,222.08,217.9,220.89,220.89,50791800,50791800,-0.7,-0.3159,220.615,"October 17, 24",-0.003159
2024-10-16,221.4,222.82,218.93,221.33,221.33,49632824,49632824,-0.07,-0.03161698,221.12,"October 16, 24",-0.0003161698
2024-10-15,220.01,224.26,217.12,219.57,219.57,62988800,62988800,-0.44,-0.19999,220.24,"October 15, 24",-0.0019999
2024-10-14,220.13,221.91,213.74,219.16,219.16,86291923,86291923,-0.97,-0.44065,218.735,"October 14, 24",-0.0044065
2024-10-11,220.13,223.34,214.38,217.8,217.8,142628900,142628900,-2.33,-1.06,218.9125,"October 11, 24",-0.0106
2024-10-10,241.81,242.79,232.34,238.77,238.77,83087100,83087100,-3.04,-1.26,238.9275,"October 10, 24",-0.0126
2024-10-09,243.82,247.43,239.51,241.05,241.05,66289529,66289529,-2.77,-1.14,242.9525,"October 09, 24",-0.0114
2024-10-08,243.56,246.21,240.56,244.5,244.5,56303200,56303200,0.94,0.38594,243.7075,"October 08, 24",0.0038594
2024-10-07,249,249.83,240.7,240.83,240.83,68113300,68113300,-8.17,-3.28,245.09,"October 07, 24",-0.0328
2024-10-04,246.69,250.96,244.58,250.08,250.08,86726285,86726285,3.39,1.37,248.0775,"October 04, 24",0.0137
2024-10-03,244.48,249.79,237.81,240.66,240.66,80729240,80729240,-3.82,-1.56,243.185,"October 03, 24",-0.0156
2024-10-02,247.55,251.16,241.5,249.02,249.02,93983930,93983930,1.47,0.59382,247.3075,"October 02, 24",0.0059382
2024-10-01,262.67,263.98,248.53,258.02,258.02,87397613,87397613,-4.65,-1.77,258.3,"October 01, 24",-0.0177
2024-09-30,259.04,264.86,255.77,261.63,261.63,80873381,80873381,2.59,0.99985,260.325,"September 30, 24",0.0099985
2024-09-27,257.38,260.7,254.12,260.46,260.46,70988100,70988100,3.08,1.2,258.165,"September 27, 24",0.012
2024-09-26,260.6,261.75,251.53,254.22,254.22,67142200,67142200,-6.38,-2.45,257.025,"September 26, 24",-0.0245
2024-09-25,252.54,257.05,252.28,257.02,257.02,65034318,65034318,4.48,1.77,254.7225,"September 25, 24",0.0177
2024-09-24,254.08,257.19,249.05,254.27,254.27,88491000,88491000,0.19,0.0747796,253.6475,"September 24, 24",0.000747796
2024-09-23,242.61,250,241.92,250,250,86927200,86927200,7.39,3.05,246.1325,"September 23, 24",0.0305
2024-09-20,241.52,243.99,235.92,238.25,238.25,99879100,99879100,-3.27,-1.35,239.92,"September 20, 24",-0.0135
2024-09-19,234,244.24,232.13,243.92,243.92,102694600,102694600,9.92,4.24,238.5725,"September 19, 24",0.0424
2024-09-18,230.09,235.68,226.88,227.2,227.2,78010204,78010204,-2.89,-1.26,229.9625,"September 18, 24",-0.0126
2024-09-17,229.45,234.57,226.55,227.87,227.87,66761636,66761636,-1.58,-0.6886,229.61,"September 17, 24",-0.006886
2024-09-16,229.3,229.96,223.53,226.78,226.78,54323000,54323000,-2.52,-1.1,227.3925,"September 16, 24",-0.011
2024-09-13,228,232.67,226.32,230.29,230.29,59515114,59515114,2.29,1,229.32,"September 13, 24",0.01
2024-09-12,224.66,231.45,223.83,229.81,229.81,72020042,72020042,5.15,2.29,227.4375,"September 12, 24",0.0229
2024-09-11,224.55,228.47,216.8,228.13,228.13,83548633,83548633,3.58,1.59,224.4875,"September 11, 24",0.0159
2024-09-10,220.07,226.4,218.64,226.17,226.17,78891136,78891136,6.1,2.77,222.82,"September 10, 24",0.0277
2024-09-09,216.2,219.87,213.67,216.27,216.27,67443518,67443518,0.07,0.03237743,216.5025,"September 09, 24",0.0003237743
2024-09-06,232.6,233.6,210.51,210.73,210.73,112177004,112177004,-21.87,-9.4,221.86,"September 06, 24",-0.094
2024-09-05,223.49,235,222.25,230.17,230.17,119355013,119355013,6.68,2.99,227.7275,"September 05, 24",0.0299
2024-09-04,210.59,222.22,210.57,219.41,219.41,80651800,80651800,8.82,4.19,215.6975,"September 04, 24",0.0419
2024-09-03,215.26,219.9,209.64,210.6,210.6,76714222,76714222,-4.66,-2.16,213.85,"September 03, 24",-0.0216
2024-08-30,208.63,214.57,207.03,214.11,214.11,63370608,63370608,5.48,2.63,211.085,"August 30, 24",0.0263
2024-08-29,209.8,214.89,205.97,206.28,206.28,62308818,62308818,-3.52,-1.68,209.235,"August 29, 24",-0.0168
2024-08-28,209.72,211.84,202.59,205.75,205.75,64116400,64116400,-3.97,-1.89,207.475,"August 28, 24",-0.0189
2024-08-27,213.25,215.66,206.94,209.21,209.21,62821400,62821400,-4.04,-1.89,211.265,"August 27, 24",-0.0189
2024-08-26,218.75,219.09,211.01,213.21,213.21,59301200,59301200,-5.54,-2.53,215.515,"August 26, 24",-0.0253
2024-08-23,214.46,221.48,214.21,220.32,220.32,81525207,81525207,5.86,2.73,217.6175,"August 23, 24",0.0273
2024-08-22,223.82,224.8,210.32,210.66,210.66,79514500,79514500,-13.16,-5.88,217.4,"August 22, 24",-0.0588
2024-08-21,222.67,224.66,218.86,223.27,223.27,70146000,70146000,0.6,0.26946,222.365,"August 21, 24",0.0026946
2024-08-20,224.88,228.22,219.56,221.1,221.1,74001200,74001200,-3.78,-1.68,223.44,"August 20, 24",-0.0168
2024-08-19,217.07,222.98,214.09,222.72,222.72,76435222,76435222,5.65,2.6,219.215,"August 19, 24",0.026
2024-08-16,211.15,219.8,210.8,216.12,216.12,88765122,88765122,4.97,2.35,214.4675,"August 16, 24",0.0235
2024-08-15,205.02,215.88,204.82,214.14,214.14,89848530,89848530,9.12,4.45,209.965,"August 15, 24",0.0445
2024-08-14,207.39,208.44,198.75,201.38,201.38,70250014,70250014,-6.01,-2.9,203.99,"August 14, 24",-0.029
2024-08-13,198.47,208.49,197.06,207.83,207.83,76247400,76247400,9.36,4.72,202.9625,"August 13, 24",0.0472
2024-08-12,199.02,199.26,194.67,197.49,197.49,64044903,64044903,-1.53,-0.76877,197.61,"August 12, 24",-0.0076877
2024-08-09,197.05,200.88,195.11,200,200,58648300,58648300,2.95,1.5,198.26,"August 09, 24",0.015
2024-08-08,195.7,200.7,192.04,198.84,198.84,65033900,65033900,3.14,1.6,196.82,"August 08, 24",0.016
2024-08-07,200.77,203.49,191.48,191.76,191.76,71159800,71159800,-9.01,-4.49,196.875,"August 07, 24",-0.0449
2024-08-06,200.75,202.9,192.67,200.64,200.64,73783942,73783942,-0.11,-0.05479452,199.24,"August 06, 24",-0.0005479452
2024-08-05,185.22,203.88,182,198.88,198.88,100308836,100308836,13.66,7.38,192.495,"August 05, 24",0.0738
2024-08-02,214.88,216.13,205.78,207.67,207.67,82880120,82880120,-7.21,-3.36,211.115,"August 02, 24",-0.0336
2024-08-01,227.69,231.87,214.33,216.86,216.86,83861900,83861900,-10.83,-4.76,222.6875,"August 01, 24",-0.0476
2024-07-31,227.9,234.68,226.79,232.07,232.07,67497011,67497011,4.17,1.83,230.36,"July 31, 24",0.0183
2024-07-30,232.25,232.41,220,222.62,222.62,100560334,100560334,-9.63,-4.15,226.82,"July 30, 24",-0.0415
2024-07-29,224.9,234.27,224.7,232.1,232.1,129201800,129201800,7.2,3.2,228.9925,"July 29, 24",0.032
2024-07-26,221.19,222.28,215.33,219.8,219.8,94604145,94604145,-1.39,-0.62842,219.65,"July 26, 24",-0.0062842
2024-07-25,216.8,226,216.23,220.25,220.25,100636500,100636500,3.45,1.59,219.82,"July 25, 24",0.0159
2024-07-24,225.42,225.99,214.71,215.99,215.99,167942939,167942939,-9.43,-4.18,220.5275,"July 24, 24",-0.0418
2024-07-23,253.6,255.76,245.63,246.38,246.38,111928200,111928200,-7.22,-2.85,250.3425,"July 23, 24",-0.0285
2024-07-22,244.21,253.21,243.75,251.51,251.51,101225430,101225430,7.3,2.99,248.17,"July 22, 24",0.0299
2024-07-19,247.79,249.44,236.83,239.2,239.2,87403903,87403903,-8.59,-3.47,243.315,"July 19, 24",-0.0347
2024-07-18,251.09,257.14,247.2,249.23,249.23,110869037,110869037,-1.86,-0.74077,251.165,"July 18, 24",-0.0074077
2024-07-17,252.73,258.47,246.18,248.5,248.5,115584810,115584810,-4.23,-1.67,251.47,"July 17, 24",-0.0167
2024-07-16,255.31,258.62,245.8,256.56,256.56,126332470,126332470,1.25,0.4896,254.0725,"July 16, 24",0.004896
2024-07-15,255.97,265.6,251.73,252.64,252.64,146912920,146912920,-3.33,-1.3,256.485,"July 15, 24",-0.013
2024-07-12,235.8,251.84,233.09,248.23,248.23,155955773,155955773,12.43,5.27,242.24,"July 12, 24",0.0527
2024-07-11,263.3,271,239.65,241.03,241.03,221707273,221707273,-22.27,-8.46,253.745,"July 11, 24",-0.0846
2024-07-10,262.8,267.59,257.86,263.26,263.26,128519430,128519430,0.46,0.17504,262.8775,"July 10, 24",0.0017504
2024-07-09,251,265.61,250.3,262.33,262.33,160742516,160742516,11.33,4.51,257.31,"July 09, 24",0.0451
2024-07-08,247.71,259.44,244.57,252.94,252.94,157219580,157219580,5.23,2.11,251.165,"July 08, 24",0.0211
2024-07-05,249.81,252.37,242.46,251.52,251.52,154501152,154501152,1.71,0.68452,249.04,"July 05, 24",0.0068452
2024-07-03,234.56,248.35,234.25,246.39,246.39,166561471,166561471,11.83,5.04,240.8875,"July 03, 24",0.0504
2024-07-02,218.89,231.3,218.06,231.26,231.26,205047920,205047920,12.37,5.65,224.8775,"July 02, 24",0.0565
2024-07-01,201.02,213.23,200.85,209.86,209.86,135691395,135691395,8.84,4.4,206.24,"July 01, 24",0.044
2024-06-28,199.55,203.2,195.26,197.88,197.88,95438068,95438068,-1.67,-0.83688,198.9725,"June 28, 24",-0.0083688
2024-06-27,195.17,198.72,194.05,197.42,197.42,72746521,72746521,2.25,1.15,196.34,"June 27, 24",0.0115
2024-06-26,186.54,197.76,186.36,196.37,196.37,95737066,95737066,9.83,5.27,191.7575,"June 26, 24",0.0527
2024-06-25,184.4,187.97,182.01,187.35,187.35,63678265,63678265,2.95,1.6,185.4325,"June 25, 24",0.016
2024-06-24,184.97,188.8,182.55,182.58,182.58,61992070,61992070,-2.39,-1.29,184.725,"June 24, 24",-0.0129
2024-06-21,182.3,183.95,180.69,183.01,183.01,63029482,63029482,0.71,0.38947,182.4875,"June 21, 24",0.0038947
2024-06-20,184.68,185.21,179.66,181.57,181.57,55893139,55893139,-3.11,-1.68,182.78,"June 20, 24",-0.0168
2024-06-18,186.56,187.2,182.37,184.86,184.86,68982265,68982265,-1.7,-0.91123,185.2475,"June 18, 24",-0.0091123
2024-06-17,177.92,188.81,177,187.44,187.44,109786083,109786083,9.52,5.35,182.7925,"June 17, 24",0.0535
2024-06-14,185.8,186,176.92,178.01,178.01,82038194,82038194,-7.79,-4.19,181.6825,"June 14, 24",-0.0419
2024-06-13,188.39,191.08,181.23,182.47,182.47,118984122,118984122,-5.92,-3.14,185.7925,"June 13, 24",-0.0314
2024-06-12,171.12,180.55,169.8,177.29,177.29,90389446,90389446,6.17,3.61,174.69,"June 12, 24",0.0361
2024-06-11,173.92,174.75,167.41,170.66,170.66,64761928,64761928,-3.26,-1.87,171.685,"June 11, 24",-0.0187
2024-06-10,176.06,178.57,173.17,173.79,173.79,50869682,50869682,-2.27,-1.29,175.3975,"June 10, 24",-0.0129
2024-06-07,176.13,179.35,175.58,177.48,177.48,56244932,56244932,1.35,0.76648,177.135,"June 07, 24",0.0076648
2024-06-06,174.6,179.73,172.73,177.94,177.94,69887024,69887024,3.34,1.91,176.25,"June 06, 24",0.0191
2024-06-05,175.35,176.15,172.13,175,175,57953756,57953756,-0.35,-0.1996,174.6575,"June 05, 24",-0.001996
2024-06-04,174.78,177.76,174,174.77,174.77,60056340,60056340,-0.005,-0.00572148,175.3275,"June 04, 24",-5.72148e-05
2024-06-03,178.13,182.64,174.49,176.29,176.29,68568920,68568920,-1.84,-1.03,177.8875,"June 03, 24",-0.0103
2024-05-31,178.5,180.32,173.82,178.08,178.08,67314602,67314602,-0.42,-0.23529,177.68,"May 31, 24",-0.0023529
2024-05-30,178.58,182.67,175.38,178.79,178.79,77784755,77784755,0.215,0.11759,178.855,"May 30, 24",0.0011759
2024-05-29,174.19,178.15,173.93,176.19,176.19,54782649,54782649,2,1.15,175.615,"May 29, 24",0.0115
2024-05-28,176.4,178.25,173.16,176.75,176.75,59736620,59736620,0.35,0.19841,176.14,"May 28, 24",0.0019841
2024-05-24,174.84,180.08,173.73,179.24,179.24,65584478,65584478,4.41,2.52,176.9725,"May 24, 24",0.0252
2024-05-23,181.8,181.9,173.26,173.74,173.74,71975496,71975496,-8.06,-4.43,177.675,"May 23, 24",-0.0443
2024-05-22,182.85,183.8,178.12,180.11,180.11,88313477,88313477,-2.74,-1.5,181.22,"May 22, 24",-0.015
2024-05-21,175.51,186.88,174.71,186.6,186.6,115266512,115266512,11.09,6.32,180.925,"May 21, 24",0.0632
2024-05-20,177.56,177.75,173.52,174.95,174.95,61727425,61727425,-2.61,-1.47,175.945,"May 20, 24",-0.0147
2024-05-17,173.55,179.63,172.75,177.46,177.46,77445845,77445845,3.91,2.25,175.8475,"May 17, 24",0.0225
2024-05-16,174.1,175.79,171.43,174.84,174.84,59812220,59812220,0.74,0.42504,174.04,"May 16, 24",0.0042504
2024-05-15,179.9,180,173.11,173.99,173.99,79662993,79662993,-5.91,-3.29,176.75,"May 15, 24",-0.0329
2024-05-14,174.5,179.49,174.07,177.55,177.55,86407422,86407422,3.05,1.75,176.4025,"May 14, 24",0.0175
2024-05-13,170,175.4,169,171.89,171.89,67018903,67018903,1.89,1.11,171.5725,"May 13, 24",0.0111
2024-05-10,173.05,173.06,167.75,168.47,168.47,72627178,72627178,-4.58,-2.65,170.5825,"May 10, 24",-0.0265
2024-05-09,175.01,175.62,171.37,171.97,171.97,65950292,65950292,-3.04,-1.74,173.4925,"May 09, 24",-0.0174
2024-05-08,171.59,176.06,170.15,174.72,174.72,79969488,79969488,3.13,1.82,173.13,"May 08, 24",0.0182
2024-05-07,182.4,183.26,177.4,177.81,177.81,75045854,75045854,-4.59,-2.52,180.2175,"May 07, 24",-0.0252
2024-05-06,183.8,187.56,182.2,184.76,184.76,84390253,84390253,0.96,0.52231,184.58,"May 06, 24",0.0052231
2024-05-03,182.1,184.78,178.42,181.19,181.19,75491539,75491539,-0.91,-0.49973,181.6225,"May 03, 24",-0.0049973
2024-05-02,182.86,184.6,176.02,180.01,180.01,89148041,89148041,-2.85,-1.56,180.8725,"May 02, 24",-0.0156
2024-05-01,182,185.86,179.01,179.99,179.99,92829719,92829719,-2.01,-1.1,181.715,"May 01, 24",-0.011
2024-04-30,186.98,190.95,182.84,183.28,183.28,127031787,127031787,-3.7,-1.98,186.0125,"April 30, 24",-0.0198
2024-04-29,188.42,198.87,184.54,194.05,194.05,243869678,243869678,5.63,2.99,191.47,"April 29, 24",0.0299
2024-04-26,168.85,172.12,166.37,168.29,168.29,109815725,109815725,-0.56,-0.33166,168.9075,"April 26, 24",-0.0033166
2024-04-25,158.96,170.88,158.36,170.18,170.18,126427521,126427521,11.22,7.06,164.595,"April 25, 24",0.0706
2024-04-24,162.84,167.97,157.51,162.13,162.13,181178020,181178020,-0.71,-0.43601,162.6125,"April 24, 24",-0.0043601
2024-04-23,143.33,147.26,141.11,144.68,144.68,124545104,124545104,1.35,0.94188,144.095,"April 23, 24",0.0094188
2024-04-22,140.56,144.44,138.8,142.05,142.05,107097564,107097564,1.49,1.06,141.4625,"April 22, 24",0.0106
2024-04-19,148.97,150.94,146.22,147.05,147.05,87074500,87074500,-1.92,-1.29,148.295,"April 19, 24",-0.0129
2024-04-18,151.25,152.2,148.7,149.93,149.93,96098830,96098830,-1.32,-0.87273,150.52,"April 18, 24",-0.0087273
2024-04-17,157.64,158.33,153.78,155.45,155.45,82439718,82439718,-2.19,-1.39,156.3,"April 17, 24",-0.0139
2024-04-16,156.74,158.19,153.75,157.11,157.11,96999956,96999956,0.368,0.23606,156.4475,"April 16, 24",0.0023606
2024-04-15,170.24,170.69,161.38,161.48,161.48,100245310,100245310,-8.76,-5.15,165.9475,"April 15, 24",-0.0515
2024-04-12,172.34,173.81,170.36,171.05,171.05,64722669,64722669,-1.29,-0.74852,171.89,"April 12, 24",-0.0074852
2024-04-11,172.55,175.88,168.51,174.6,174.6,94515987,94515987,2.05,1.19,172.885,"April 11, 24",0.0119
2024-04-10,173.04,174.93,170.01,171.76,171.76,84532407,84532407,-1.28,-0.73971,172.435,"April 10, 24",-0.0073971
2024-04-09,172.91,179.22,171.92,176.88,176.88,103232675,103232675,3.97,2.3,175.2325,"April 09, 24",0.023
2024-04-08,169.34,174.5,167.79,172.98,172.98,104423320,104423320,3.64,2.15,171.1525,"April 08, 24",0.0215
2024-04-05,169.08,170.86,160.51,164.9,164.9,143157603,143157603,-4.18,-2.47,166.3375,"April 05, 24",-0.0247
2024-04-04,170.07,177.19,168.01,171.11,171.11,123161960,123161960,1.04,0.61151,171.595,"April 04, 24",0.0061151
2024-04-03,164.02,168.82,163.28,168.38,168.38,82950141,82950141,4.36,2.66,166.125,"April 03, 24",0.0266
2024-04-02,164.75,167.69,163.43,166.63,166.63,116650594,116650594,1.88,1.14,165.625,"April 02, 24",0.0114
2024-04-01,176.17,176.75,170.21,175.22,175.22,81562127,81562127,-0.95,-0.53925,174.5875,"April 01, 24",-0.0053925
2024-03-28,177.45,179.57,175.3,175.79,175.79,77654838,77654838,-1.66,-0.93547,177.0275,"March 28, 24",-0.0093547
2024-03-27,181.41,181.91,176,179.83,179.83,81804043,81804043,-1.58,-0.87096,179.7875,"March 27, 24",-0.0087096
2024-03-26,178.58,184.25,177.38,177.67,177.67,113186227,113186227,-0.91,-0.50958,179.47,"March 26, 24",-0.0050958
2024-03-25,168.76,175.24,168.73,172.63,172.63,74228615,74228615,3.87,2.29,171.34,"March 25, 24",0.0229
2024-03-22,166.69,171.2,166.3,170.83,170.83,75580637,75580637,4.14,2.48,168.755,"March 22, 24",0.0248
2024-03-21,176.39,178.18,171.8,172.82,172.82,73178014,73178014,-3.57,-2.02,174.7975,"March 21, 24",-0.0202
