symbol,date,analystRatingsbuy,analystRatingsHold,analystRatingsSell,analystRatingsStrongSell,analystRatingsStrongBuy
FOX,2023-10-01,1,1,0,0,1
FOX,2023-09-01,0,0,0,0,1
FOX,2023-08-01,0,0,0,0,1
FOX,2023-07-01,1,1,0,0,1
FOX,2023-06-01,1,1,0,0,1
FOX,2023-05-01,1,1,0,0,1
FOX,2023-04-01,1,1,0,0,1
FOX,2023-03-01,1,1,0,0,1
FOX,2023-02-01,1,1,0,0,1
FOX,2023-01-01,1,1,0,0,1
FOX,2022-12-01,1,1,0,0,1
FOX,2022-11-01,1,1,0,0,1
FOX,2022-10-01,1,1,0,0,1
FOX,2022-09-01,0,0,0,0,1
FOX,2022-08-01,1,1,0,0,1
FOX,2022-07-01,0,0,0,0,1
FOX,2022-06-01,1,1,0,0,1
FOX,2022-05-01,0,0,0,0,1
FOX,2022-04-01,1,1,0,0,1
FOX,2022-03-01,1,1,0,0,1
FOX,2022-02-01,1,1,0,0,1
FOX,2022-01-01,1,1,0,0,1
FOX,2021-12-01,1,1,0,0,1
FOX,2021-11-01,1,1,0,0,1
FOX,2021-10-01,1,1,0,0,1
FOX,2021-09-01,1,1,0,0,1
FOX,2021-08-01,1,1,0,0,1
FOX,2021-07-01,1,1,0,0,1
FOX,2021-06-01,1,1,0,0,1
FOX,2021-05-01,1,1,0,0,1
FOX,2021-04-01,1,1,0,0,1
FOX,2021-03-01,1,1,0,0,1
FOX,2021-02-01,0,0,0,0,1
FOX,2021-01-01,0,0,0,0,1
FOX,2020-12-01,1,1,0,0,1
FOX,2020-09-01,3,2,0,0,2
FOX,2020-08-01,2,1,0,0,2
FOX,2020-07-01,2,1,0,0,2
FOX,2020-06-01,3,2,0,0,2
FOX,2020-05-01,2,1,0,0,2
FOX,2020-04-01,3,2,0,0,2
FOX,2020-03-01,3,2,0,0,2
FOX,2020-02-01,3,2,0,0,2
FOX,2020-01-01,3,2,0,0,2
FOX,2019-12-01,3,2,0,0,2
FOX,2019-11-01,3,2,0,0,2
FOX,2019-10-01,3,2,0,0,2
FOX,2019-09-01,3,2,0,0,2
FOX,2019-08-01,3,2,0,0,2
FOX,2019-07-01,3,2,0,0,2
FOX,2019-06-01,3,2,0,0,2
FOX,2019-05-01,3,2,0,0,2
FOX,2019-04-01,3,2,0,0,2
FOX,2019-03-01,3,2,0,0,2
FOX,2019-02-01,3,2,0,0,2
FOX,2019-01-01,3,2,0,0,2
